year,country,Electricity production from hydroelectric sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from nuclear sources (% of total),Electric power consumption (kWh per capita),"Annual freshwater withdrawals, total (billion cubic meters)","Annual freshwater withdrawals, total (% of internal resources)","Industrial design applications, nonresident, by count","Industrial design applications, resident, by count","Trademark applications, nonresident, by count","Trademark applications, resident, by count","Air transport, registered carrier departures worldwide","Air transport, freight (million ton-km)","Air transport, passengers carried",Container port traffic (TEU: 20 foot equivalent units),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Secure Internet servers,Secure Internet servers (per 1 million people),"Individuals using the Internet, female (% of female population)","Individuals using the Internet, male (% of male population)",Individuals using the Internet (% of population)
2010,BGR,12.2028594088269,9.60281225215956,32.6860009002637,4560.41491703377,5.96,28.3809523809524,48.0,520.0,5474.0,14424.0,11321.0,2.13518,801840.0,142611.0,10200000.0,134.3463722,2164260.0,29.1,1120000.0,15.1221,461.0,62.3343693999634,45.3767,47.1138,46.2
2010,BRA,78.2002780616351,16.6268835573274,2.81610120357641,2398.60801799243,74.77075,1.32080462815757,1916.0,4134.0,23524.0,104168.0,841793.0,1302.474647875,74627064.0,7223103.0,197000000.0,100.293596,42141400.0,21.8,14100000.0,7.27968,5529.0,28.5438561636627,40.2503,41.0911,40.7
2010,CAN,58.2819267838073,4.29526595427139,15.033596667529,16223.5073194059,37.19865,1.30521578947368,4291.0,851.0,53441.0,70141.0,1234528.61925597,1957.32853635002,63277409.3753385,4670790.0,25800000.0,76.03888561,18394000.0,53.8,10800000.0,31.6318,43618.0,1282.65969830766,79.1717,81.4717,80.3
2010,CHE,55.7752709577527,6.44400206444002,38.8394897883949,8174.53595945972,2.1072,5.21584158415842,6693.0,4177.0,46280.0,35242.0,224807.0,1282.496418,22146864.0,99048.0,9640000.0,123.2884262,4907770.0,62.7,2910000.0,37.2299,11343.0,1449.6015225225,79.3831,88.6364,83.9
2010,COL,66.6364281119596,15.0703458740867,0.0,1132.35899630346,15.8180868734,0.737439947477856,280.0,120.0,10218.0,15772.0,226094.0,954.66013894833,16932435.0,2446523.0,44500000.0,99.24479163,7186170.0,16.0,2640000.0,5.90262,475.0,10.608049133089,36.1269,36.9168,36.5
2010,DEU,4.32035001263583,3.78664392216325,22.2005307050796,7265.99787984215,32.991,30.8327102803738,10228.0,40396.0,23923.0,197433.0,971803.431596833,7487.48100076523,97330734.2807591,13037702.0,88400000.0,108.6995416,52900000.0,65.4,26200000.0,32.3663,85810.0,1049.31794333683,78.5456,85.1713,82.0
2010,ECU,44.2644797539723,19.3798052280882,0.0,1100.50644388575,9.9158,2.24136528028933,110.0,52.0,7445.0,8750.0,60835.0,129.7315,4818305.0,1209347.0,14800000.0,98.60665932,2085660.0,13.8,221000.0,1.46796,159.0,10.5460779036785,28.2072,29.8819,29.0
2010,ESP,15.0935073807652,9.08708009564649,20.5586896032528,5706.56306279914,35.01,31.4838129496403,545.0,14716.0,10627.0,62431.0,546298.853885983,1235.86488460144,52847712.6083233,12500043.0,51400000.0,110.3421909,20181400.0,43.1,10700000.0,22.7418,9644.0,207.055442100404,63.768,69.2864,65.8
2010,FIN,16.0175521233607,3.42241614398691,28.2618935468676,16484.8400776231,4.8572,4.53943925233645,76.0,249.0,4341.0,9853.0,132408.28422807,728.823996721215,8685772.86832543,1219391.0,8390000.0,156.4343557,1250000.0,23.3,1560000.0,29.0751,5457.0,1017.4607223244,86.0772,87.7088,86.9
2010,HRV,61.9514159173265,13.5686485035566,0.0,3922.31086688238,0.683004,1.81168169761273,2292.0,733.0,15812.0,5493.0,24766.0,1.516001,1577226.0,160600.0,4930000.0,112.8109576,1865730.0,43.4,838000.0,19.48,506.0,117.799697212873,48.2819,65.7977,56.6
2010,ISL,73.8144088164605,4.09754381851222,0.0,51439.9086910178,0.26315,0.154794117647059,286.0,86.0,6701.0,1439.0,21668.3164735801,79.124198,1851416.84175507,192778.0,341077.0,107.1447195,193614.0,60.9,109000.0,34.3263,742.0,2333.03253354127,91.5441,95.1988,93.4
2010,ISR,0.0512024030994521,2.75810278029049,0.0,6953.27666719135,1.34,178.666666666667,417.0,1200.0,7191.0,2569.0,47829.0,856.431,5084798.0,2281552.0,9110000.0,124.3237822,3408000.0,46.5,1760000.0,24.0161,3388.0,444.409465344457,64.4366,70.6683,67.5
2010,ITA,18.0114744275201,6.80983768286748,0.0,5493.71103670054,33.7009521368,18.4662751434521,1160.0,31015.0,12528.0,82636.0,335280.0,784.96985,32645164.0,9762077.0,93700000.0,156.5734737,22536400.0,37.5,13100000.0,21.7705,7532.0,127.063566214432,48.3222,59.199,53.7
2010,LTU,22.5256566359367,17.2029918246652,0.0,3470.78503022973,1.0358,6.69987063389392,484.0,29.0,4720.0,3159.0,4972.63491038269,2.6402227027027,81450.0,294954.0,4890000.0,155.8123414,753439.0,24.3,679000.0,21.9297,549.0,177.252184334523,63.859,64.4616,62.1
2010,LVA,53.1160404406217,10.9250037724461,0.0,3230.4278076141,0.2752,1.6245572609209,106.0,133.0,4661.0,2398.0,54589.0,5.483,3158051.0,256252.0,2310000.0,109.7343364,532100.0,25.4,435000.0,20.7298,477.0,227.407624591489,67.1364,69.8709,68.4
2010,MEX,13.4758671249233,16.0602750265844,2.13365174187133,2027.1616282825,79.63,19.4694376528117,1849.0,1691.0,25529.0,68928.0,445796.033023162,908.948170756014,31269061.0,3704765.0,91400000.0,81.2063834,19918600.0,17.5,10600000.0,9.31394,1531.0,13.4742784517288,32.1689,35.6567,31.1
2010,PER,55.8428531624408,10.1253831150738,0.0,1105.13576986937,18.3191523599,1.11634078975625,253.0,124.0,10035.0,16337.0,84408.1153236815,83.5804026066418,7106025.29251721,1529846.0,29100000.0,99.60853686,3159880.0,10.9,933000.0,3.20602,301.0,10.3486145697698,30.5446,38.8923,34.8
2010,PRT,30.5897578110556,7.91273802921058,0.0,4959.09430535983,8.9458666667,23.5417543860526,35.0,1565.0,6248.0,24764.0,111961.407853906,364.692462967644,10428173.5126738,1636246.0,12200000.0,115.3184225,4486210.0,42.4,2130000.0,20.1036,1717.0,162.393243230462,48.3243,58.496,53.3
2010,PRY,99.9981504087597,6.2312728886916,0.0,1275.53799069392,2.1313484848,1.82166537162393,150.0,121.0,8962.0,13140.0,6459.0,0.0,715072.0,8179.0,5920000.0,102.6392137,362934.0,6.33,89500.0,1.55966,38.0,6.62255002683004,19.1655,20.3718,19.8
2010,ROU,33.1966742649109,11.5744764591089,19.0606602272914,2550.8632914192,6.219,14.6743747050495,65.0,1302.0,6784.0,24070.0,61515.0,5.163786,3733253.0,556694.0,24400000.0,119.7922166,4500000.0,22.0,3000000.0,14.6854,790.0,39.0183747404722,38.1968,41.7193,39.9
