year,country,Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Agricultural land (% of land area),Arable land (hectares per person),Arable land (% of land area),Land under cereal production (hectares),Permanent cropland (% of land area),Forest area (sq. km),Forest area (% of land area),Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Cereal yield (kg per hectare),"Access to electricity, rural (% of rural population)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population,Rural population growth (annual %),Rural population (% of total population),Agricultural raw materials imports (% of merchandise imports)
1990,AUT,101.26878130217,212.692847124825,30239.0,36.6444498303442,0.185729077801728,17.2806592341251,948437.0,0.957343674260785,37756.7,45.7546049442559,5289752.0,103.55,99.01,96.2,5577.3,100.0,2.6266712196,5198242768.97011,3.13503392093378,2843876.0,1.49633073585245,37.04,3.14612636977409
1990,DNK,238.045112781955,247.24716907458,27880.0,69.7,0.498158021326454,64.025,1570303.0,0.25,5314.4,13.286,9606978.0,104.96,94.06,88.57,6117.9,100.0,36.8754956384,4534564683.45021,3.2807399838791,779212.0,-0.272084251190269,15.157,3.32587225468771
1990,FIN,100.625142077745,195.09453920402,23930.0,7.85646278604025,0.455014819216389,7.44902984339604,1212600.0,0.0068945139367674,218753.3,71.818936931613,4296400.0,115.8,110.1,107.12,3543.1,100.0,0.852151683,7633338516.56041,5.39664042918078,1028850.0,-2.78044352961531,20.633,2.3244023546242
1990,FRA,152.052228822176,319.531285142369,305928.0,55.8705251969626,0.305260746243131,32.4797376024078,9060354.0,2.20740513472349,144360.0,26.3639451682537,55110621.0,98.6,101.62,105.47,6082.6,100.0,12.9583443884,37452114203.1081,2.97794544466016,15115237.0,0.139486384561813,25.944,2.61841880685987
1990,GBR,149.063670411985,360.725075528701,182030.0,75.2407721241681,0.115638063760453,27.3632869011698,3657300.0,0.272806183606828,27780.0,11.4826602736329,22569000.0,98.26,97.83,97.74,6170.9,100.0,5.5443983402,13741976207.3864,1.25707656499473,12514322.0,0.52791575535804,21.86,2.87462690129394
1990,ITA,162.981304400306,215.754549489569,168400.0,57.2574886947061,0.1588878835471,30.6415966815137,4413402.0,10.0642616708034,75897.5,25.8058209513447,17410540.0,101.39,102.46,107.48,3944.9,100.0,53.9074683764,37633270846.8003,3.17863301808926,18872760.0,0.143834356662143,33.274,5.41024797048995
1990,JOR,1.37282829595236,93.75,10402.0,11.7883046237534,0.049476684664547,2.03082502266546,105746.0,0.793291024478695,975.0,1.10494106980961,129010.0,46.81,40.19,30.49,1220.0,90.1188668356286,74.9433106576,286268743.069283,6.88131541776828,967375.0,3.43466872929622,26.709,1.43193981421145
1990,KOR,84.9239658531351,490.374807987711,21790.0,22.5896744764669,0.0455570950416875,20.2467343976778,1440980.0,1.61725067385445,65510.0,67.9141613103877,8434015.0,101.46,74.03,46.42,5853.0,99.8482291747245,68.5464268352,21554212547.0602,7.60649633369599,11212890.0,-5.29748268559074,26.156,8.04581298478037
1990,MUS,231.590814196242,282.989795918367,1110.0,54.679802955665,0.092559797879625,48.2758620689655,545.0,2.95566502463054,410.7,20.2315270935961,2284.0,124.02,95.91,37.16,4190.8,98.2915602575158,76.8888888889,288896258.187945,10.7427817711228,593973.0,0.15062527488693,56.1,2.64118109636152
1990,NZL,148.785776235906,902.894736842105,139170.0,52.8540503588926,0.11412096822632,1.44316585013862,172807.0,0.178496828832935,93722.7,35.5940526375755,869904.0,58.21,55.0,60.29,5034.0,100.0,44.0,2724556266.06108,5.98867681637264,508061.0,-0.61163470337453,15.258,1.19240080116127
1990,ROU,72.91040288635,128.306878306878,147690.0,64.3950294310007,0.407295371249731,41.2034009156311,5704048.0,2.57684761281884,63710.0,27.7785044691519,17173554.0,81.74,99.11,137.63,3010.8,100.0,44.5859872611,8341506910.38787,21.8090686560205,10854514.0,-1.33838764040209,46.783,4.36639372519928
1990,SWE,115.548812683483,115.543118620204,34130.0,8.37875610945852,0.331937699464939,6.97452273863805,1285220.0,0.0098198137819613,280630.0,68.8933585407953,6379500.0,110.09,108.26,107.05,4963.7,100.0,5.389019872,9320468507.12982,3.5646473887849,1446443.0,0.772588872733165,16.9,1.95862167815072
1991,ARE,7.34524325074314,499.142857142857,3100.0,4.36496761475641,0.0174422139451996,0.492818924246691,1721.0,0.352013517319065,2514.43,3.54045339341031,6013.62,68.43,44.6,25.16,3494.1,100.0,68.5680155293,669027512.939254,1.29776800811633,423278.0,6.24368341848204,21.094,0.262263105115779
1991,AUT,84.4152046783626,199.792387543253,30369.0,36.8019873969947,0.186334018105477,17.510906446922,924565.0,0.957343674260785,37819.17,45.8303078041687,5044859.0,101.47,97.91,95.72,5456.5,100.0,2.6770178022,4926284030.64231,2.84569687770774,2893427.0,1.7273702324161,37.311,2.98943091573119
